MSZoning,LotFrontage,LotArea,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
RL,Other,7301,Edwards,Other,7,2003,2003,Gd,None,None,None,0,None,0,0,0,495,1427,0,0,3,0,4,1,7,1,BuiltIn,2,672,ConLD,Normal,198500
RM,Other,1680,Other,2Story,6,1972,2007,TA,TA,No,ALQ,162,Unf,0,321,483,483,504,0,0,1,1,2,1,5,0,Detchd,1,264,WD,Normal,118000
RL,80,18800,Other,2Story,6,1976,1976,TA,Gd,Mn,GLQ,712,Unf,0,84,796,790,784,1,0,2,1,3,1,6,1,Attchd,2,566,WD,Normal,190000
RM,Other,10690,Other,2Story,5,1920,1997,TA,TA,No,Rec,456,Unf,0,216,672,672,672,0,0,1,0,3,1,6,0,Detchd,1,468,WD,Normal,147000
RL,73,9500,NAmes,1Story,6,1963,1963,TA,Gd,No,BLQ,609,Unf,0,785,1394,1394,0,1,0,1,1,3,1,6,2,Attchd,2,514,WD,Normal,159000
RL,Other,9150,NAmes,Other,6,1962,1962,TA,Gd,Gd,GLQ,371,Unf,0,728,1099,1431,0,0,1,1,0,3,1,6,1,Basment,1,296,WD,Normal,165000
RL,Other,7800,NAmes,1Story,5,1954,1954,TA,TA,No,LwQ,540,Unf,0,728,1268,1268,0,0,0,1,0,2,1,7,1,Attchd,1,244,WD,Normal,132000
RL,73,9830,NAmes,1Story,5,1959,2006,TA,TA,No,ALQ,72,Rec,258,733,1063,1287,0,1,0,1,0,3,1,7,1,Detchd,2,576,WD,Normal,162000
RL,65,8121,Other,2Story,6,2000,2000,TA,Gd,No,Unf,0,Unf,0,953,953,953,711,0,0,2,1,3,1,7,1,Attchd,2,460,WD,Normal,172400
RL,80,17120,Other,Other,Other,1959,1959,TA,None,None,None,0,None,0,0,0,1120,468,0,0,2,0,4,1,7,1,Detchd,2,680,WD,Normal,134432
RL,Other,7175,Other,1Story,6,1984,1984,TA,Gd,No,ALQ,623,LwQ,121,0,744,752,0,1,0,1,0,2,1,4,0,Attchd,1,264,WD,Normal,125000
RL,Other,10634,NAmes,1Story,5,1953,1953,TA,TA,No,BLQ,428,LwQ,180,0,608,1319,0,1,0,1,0,3,1,5,0,Attchd,1,270,WD,Normal,123000
RL,65,8200,CollgCr,2Story,7,2003,2004,Gd,Gd,No,Unf,0,Unf,0,847,847,847,1081,0,0,2,1,4,1,8,1,BuiltIn,2,434,WD,Normal,219500
RL,65,10020,Edwards,1Story,Other,1922,1950,Fa,Fa,Gd,BLQ,350,Unf,0,333,683,904,0,1,0,0,1,1,1,4,0,None,0,0,WD,Normal,61000
RL,Other,8846,CollgCr,Other,5,1996,1996,Gd,Gd,Av,GLQ,298,Unf,0,572,870,914,0,0,0,1,0,2,1,5,0,Detchd,2,576,WD,Normal,148000
FV,Other,11143,Other,2Story,Other,2004,2005,Gd,Gd,No,Unf,0,Unf,0,1580,1580,1580,886,0,0,3,0,4,1,8,1,Attchd,2,610,WD,Normal,340000
RL,Other,11394,Other,1Story,Other,2010,2010,Gd,Ex,Av,GLQ,1445,Unf,0,411,1856,1856,0,1,0,1,1,1,1,8,1,Attchd,3,834,New,Partial,394432
RL,60,8123,Other,2Story,6,2000,2000,TA,Gd,No,Unf,0,Unf,0,982,982,1007,793,0,0,2,1,3,1,7,1,Attchd,2,463,WD,Normal,179000
RL,Other,5000,Other,Other,5,1924,1950,TA,TA,No,LwQ,218,Unf,0,808,1026,1026,665,0,0,2,0,3,1,6,1,Detchd,1,308,WD,Normal,127000
FV,60,7200,Other,1Story,7,2006,2006,Gd,Gd,No,Unf,0,Unf,0,1293,1293,1301,0,1,0,2,0,2,1,5,1,Attchd,2,572,New,Partial,187750
RL,Other,9245,CollgCr,2Story,7,2006,2006,Gd,Gd,Av,Unf,0,Unf,0,939,939,939,858,0,0,2,1,3,1,8,0,Attchd,2,639,WD,Normal,213500
RH,60,9000,Other,Other,6,1928,1950,TA,Fa,No,Unf,0,Unf,0,784,784,784,0,0,0,1,0,2,1,5,0,Detchd,2,360,WD,Normal,76000
RL,80,53107,Other,2Story,6,1992,1992,Gd,Gd,Av,GLQ,985,Unf,0,595,1580,1079,874,1,0,2,1,3,1,9,2,Attchd,2,501,WD,Normal,240000
RL,Other,3182,Other,1Story,Other,2004,2005,Gd,Gd,No,GLQ,24,Unf,0,1232,1256,1269,0,0,0,2,0,2,1,6,1,Attchd,2,430,WD,Normal,192000
RL,Other,8410,Edwards,Other,5,1910,1996,TA,TA,No,Unf,0,Unf,0,658,658,658,526,0,0,1,0,5,1,8,0,None,0,0,WD,AdjLand,81000
RL,Other,7200,Edwards,Other,6,1976,1976,TA,TA,Av,ALQ,631,Unf,0,410,1041,1125,0,1,0,1,0,3,1,6,1,Detchd,1,352,WD,Abnorml,125000
RL,Other,9382,CollgCr,1Story,7,1999,2000,Gd,Gd,No,Unf,0,Unf,0,1468,1468,1479,0,0,0,2,0,3,1,6,0,Attchd,2,577,WD,Normal,191000
RL,Other,12474,Other,2Story,Other,2007,2008,Ex,Ex,Av,GLQ,1280,Unf,0,402,1682,1742,590,1,0,2,1,3,1,9,1,BuiltIn,3,846,New,Partial,426000
RL,Other,8405,Edwards,Other,5,1900,1950,TA,TA,No,Rec,241,BLQ,391,229,861,961,406,1,0,1,0,4,1,7,0,Detchd,1,384,WD,Normal,119000
RL,Other,12209,Other,2Story,6,2001,2002,TA,Ex,No,ALQ,690,Unf,0,114,804,804,1157,1,0,2,1,3,1,7,1,BuiltIn,2,560,WD,Normal,215000
RL,73,8339,NAmes,1Story,5,1959,1959,TA,None,None,None,0,None,0,0,0,882,0,0,0,1,0,3,1,5,0,Attchd,1,294,WD,Normal,106500
RL,Other,7446,Other,1Story,Other,1941,1950,TA,TA,No,Rec,266,Unf,0,522,788,788,0,0,0,1,0,2,1,4,2,None,0,0,WD,Abnorml,100000
RL,60,10134,OldTown,Other,5,1940,1950,TA,TA,No,Unf,0,Unf,0,735,735,735,299,0,0,1,0,2,1,5,0,Detchd,1,240,WD,Normal,109000
RL,Other,9571,Edwards,1Story,5,1956,1956,TA,TA,Av,BLQ,739,Unf,0,405,1144,1144,0,1,0,1,0,3,1,6,0,Attchd,1,596,WD,Normal,129000
RL,60,7200,CollgCr,1Story,5,1972,1972,TA,TA,Av,Rec,777,Unf,0,117,894,894,0,0,0,1,0,2,1,6,0,Detchd,2,600,WD,Normal,123000
RL,Other,7590,NAmes,2Story,5,1962,1962,TA,TA,No,ALQ,540,Unf,0,324,864,876,936,0,0,2,0,4,1,8,1,Attchd,1,264,WD,Normal,169500
RM,60,8967,Other,1Story,5,1920,1950,TA,Fa,No,Unf,0,Unf,0,961,961,1077,0,0,0,1,0,2,1,6,0,Detchd,1,338,WD,Abnorml,67000
FV,65,8125,Other,2Story,7,2006,2007,Gd,Gd,No,GLQ,812,Unf,0,280,1092,1112,438,1,0,2,0,2,1,7,0,Attchd,2,438,WD,Normal,241000
RL,Other,14963,Other,1Story,Other,1996,1996,Gd,Gd,No,GLQ,786,Unf,0,474,1260,1288,0,1,0,1,1,1,1,4,2,Attchd,2,500,WD,Normal,245500
RL,65,8767,CollgCr,1Story,7,2005,2005,Gd,Gd,Av,GLQ,24,Unf,0,1286,1310,1310,0,0,0,2,0,3,1,6,1,Attchd,2,400,New,Partial,164990
RL,60,10200,Other,1Story,5,1940,1997,TA,TA,No,Unf,0,Unf,0,672,672,672,0,0,0,1,0,2,1,4,0,Detchd,1,240,WD,Normal,108000
RL,Other,12090,Other,2Story,Other,1998,1998,Gd,Gd,No,Unf,0,Unf,0,1141,1141,1165,1098,0,0,2,1,4,1,10,1,BuiltIn,2,420,WD,Abnorml,258000
RL,65,10364,Other,2Story,6,1995,1996,TA,Gd,No,Unf,0,Unf,0,806,806,806,766,0,0,2,1,3,1,7,1,BuiltIn,2,373,WD,Normal,168000
RL,Other,9991,Other,1Story,Other,1976,1993,TA,TA,No,BLQ,1116,Unf,0,165,1281,1620,0,1,0,2,0,3,1,8,1,Attchd,2,490,WD,Normal,150000
RL,Other,10480,Other,Other,6,1936,1950,TA,TA,No,Unf,0,Unf,0,1064,1064,1166,0,0,0,1,0,3,1,6,0,Detchd,1,240,WD,Normal,115000
RL,Other,15576,Other,2Story,6,1915,1976,TA,Gd,No,Unf,0,Unf,0,840,840,840,840,0,0,2,0,4,1,8,0,Attchd,1,308,WD,Normal,177000
RL,Other,14154,Other,2Story,7,2006,2006,Gd,Ex,No,Unf,0,Unf,0,1063,1063,1071,1101,0,0,2,1,3,1,9,1,Attchd,3,947,New,Partial,280000
FV,Other,10800,Other,2Story,Other,2007,2008,Gd,Ex,No,GLQ,789,Unf,0,245,1034,1050,1028,1,0,2,1,3,1,8,1,Attchd,3,836,New,Partial,339750
RL,Other,9571,Edwards,1Story,5,1958,1958,TA,TA,No,Unf,0,Unf,0,1276,1276,1276,0,0,0,1,0,3,1,5,0,Attchd,1,350,COD,Abnorml,60000
RL,Other,34650,Other,1Story,5,1955,1955,TA,TA,Mn,Rec,1056,Unf,0,0,1056,1056,0,1,0,1,0,3,1,5,0,Attchd,2,572,WD,Normal,145000
FV,73,4403,Other,1Story,7,2009,2009,Ex,Ex,Av,GLQ,578,Unf,0,892,1470,1478,0,1,0,2,1,2,1,7,1,Attchd,2,484,New,Partial,222000
RM,Other,8960,OldTown,1Story,5,1927,1950,TA,TA,No,Unf,0,Unf,0,1008,1008,1028,0,0,0,1,0,2,1,5,1,Detchd,2,360,WD,Normal,115000
RL,Other,11228,Other,2Story,7,1993,1993,Gd,Gd,No,BLQ,50,GLQ,531,499,1080,1080,1017,0,1,2,1,3,1,9,1,Attchd,3,678,WD,Normal,228000
RL,73,8899,Other,1Story,7,2007,2007,Gd,Gd,Av,GLQ,24,Unf,0,1316,1340,1340,0,0,0,2,0,3,1,6,0,Attchd,2,396,New,Partial,181134
RL,Other,7844,Other,2Story,6,1978,1978,TA,TA,No,ALQ,209,Unf,0,463,672,672,728,0,0,1,1,3,1,6,1,Attchd,2,440,WD,Normal,149500
RL,Other,22420,Other,2Story,6,1918,1950,TA,Gd,No,BLQ,1128,Unf,0,242,1370,1370,1254,1,0,2,1,4,1,10,1,Detchd,3,864,WD,Normal,239000
RL,60,8160,Edwards,Other,5,1940,1950,TA,TA,No,ALQ,312,Unf,0,444,756,756,378,1,0,1,1,3,1,7,0,Detchd,1,240,WD,AdjLand,126000
RL,65,8450,NAmes,1Story,5,1968,1968,TA,TA,No,BLQ,775,Unf,0,281,1056,1056,0,1,0,1,0,3,1,6,1,Attchd,1,304,WD,Normal,142000
RM,Other,7060,Other,Other,7,1997,1998,TA,Gd,Gd,GLQ,1309,Unf,0,35,1344,1344,0,2,0,2,0,2,2,8,0,Attchd,4,784,WD,Alloca,206300
RL,80,16635,Other,1Story,6,1977,2000,Gd,Gd,No,ALQ,1246,Unf,0,356,1602,1602,0,0,1,2,0,3,1,8,1,Attchd,2,529,WD,Normal,215000
RL,Other,21750,Other,1Story,5,1954,1954,TA,TA,No,Unf,0,Unf,0,988,988,988,0,0,0,1,0,2,1,4,0,Attchd,2,520,WD,Normal,113000
RL,80,9200,Other,2Story,Other,1998,1998,Gd,Gd,No,GLQ,986,Unf,0,484,1470,1470,1160,1,0,2,1,4,1,8,1,Attchd,3,696,WD,Normal,315000
RL,Other,9000,NAmes,1Story,6,1956,1956,TA,Gd,No,LwQ,616,Unf,0,580,1196,1196,0,1,0,1,0,2,1,6,1,Attchd,1,297,WD,Normal,139000
RM,60,3378,OldTown,2Story,7,1946,1992,TA,TA,No,Unf,0,Unf,0,651,651,707,682,0,0,1,1,3,1,6,2,Detchd,1,240,WD,Normal,135000
RL,Other,12800,Other,Other,7,1989,1989,Gd,Gd,Gd,GLQ,1518,Unf,0,0,1518,1644,0,1,1,2,0,2,1,5,1,Attchd,2,569,WD,Normal,275000
RL,Other,8593,NAmes,1Story,Other,1957,1957,TA,TA,No,Rec,288,Unf,0,619,907,907,0,0,0,1,0,3,1,5,0,Detchd,1,352,WD,Normal,109008
RL,Other,6762,CollgCr,1Story,7,2007,2007,Gd,Gd,No,GLQ,664,Unf,0,544,1208,1208,0,1,0,2,0,2,1,6,0,Attchd,2,628,New,Partial,195400
RL,Other,11457,Other,1Story,6,1988,1988,TA,Gd,Mn,GLQ,1005,Unf,0,387,1392,1412,0,1,0,2,0,3,1,6,1,Attchd,2,576,WD,Normal,175000
RM,Other,1680,Other,2Story,6,1971,1971,TA,TA,No,ALQ,387,Unf,0,96,483,483,504,0,0,1,1,2,1,4,0,Detchd,1,264,COD,Abnorml,85400
RM,60,5586,OldTown,Other,6,1920,1998,TA,TA,No,Unf,0,Unf,0,901,901,1088,110,0,0,1,0,4,1,7,0,None,0,0,ConLD,Abnorml,79900
RM,Other,1920,Other,2Story,5,1971,1971,TA,TA,No,ALQ,471,Unf,0,294,765,765,600,1,0,1,1,2,1,6,0,Detchd,2,440,WD,Normal,122500
RL,Other,10839,Other,2Story,6,1997,1998,TA,Gd,No,Unf,0,Unf,0,926,926,926,678,0,0,2,1,3,1,7,1,Attchd,2,470,WD,Normal,181000
RM,Other,1890,Other,Other,Other,1972,1972,TA,Gd,Av,ALQ,495,Unf,0,135,630,630,0,1,0,1,0,1,1,3,0,None,0,0,WD,Normal,81000
RL,Other,10667,CollgCr,2Story,7,1996,1996,Gd,Gd,Av,GLQ,385,ALQ,344,70,799,827,834,1,0,2,1,3,1,6,1,Attchd,2,550,ConLw,Normal,212000
RM,Other,4400,OldTown,Other,6,1920,1950,TA,Fa,No,Unf,0,Unf,0,648,648,734,384,0,0,1,0,2,1,6,0,Detchd,2,440,WD,Normal,116000
RM,Other,6000,Other,Other,6,1926,2004,Gd,TA,No,Unf,0,Unf,0,884,884,904,0,0,0,1,0,2,1,4,0,Detchd,1,180,WD,Normal,119000
RL,Other,4280,Other,1Story,5,1913,2002,TA,TA,No,LwQ,365,Unf,0,75,440,694,0,0,0,1,0,2,1,4,1,Detchd,1,352,WD,Normal,90350
RL,Other,12354,Edwards,Other,6,1920,2000,TA,TA,Mn,Unf,0,Unf,0,684,684,684,512,0,0,1,0,3,1,7,0,Detchd,2,528,ConLI,Normal,110000
RL,Other,15431,Other,1Story,Other,2008,2008,Ex,Ex,Gd,GLQ,1767,ALQ,539,788,3094,2402,0,1,0,2,0,2,1,10,2,Attchd,3,672,WD,Normal,555000
RL,Other,12108,Edwards,1Story,Other,1955,1955,TA,TA,No,ALQ,133,Unf,0,1307,1440,1440,0,0,0,2,0,4,2,8,0,None,0,0,WD,Normal,118000
RM,Other,6240,Other,Other,5,1930,1992,TA,TA,No,Unf,0,Unf,0,1078,1078,1128,445,0,0,2,0,3,1,8,1,Detchd,2,360,WD,Normal,162900
RL,Other,3922,Other,1Story,7,2006,2007,Gd,Ex,Av,Unf,0,Unf,0,1258,1258,1258,0,0,0,2,0,2,1,6,1,Attchd,3,648,New,Partial,172500
RL,70,8750,CollgCr,2Story,7,1994,1995,Gd,Gd,No,GLQ,642,Unf,0,273,915,933,975,1,0,2,1,4,1,8,1,Attchd,2,493,WD,Normal,210000
RL,73,9855,Edwards,1Story,6,1956,1956,TA,TA,No,Unf,0,Unf,0,1436,1436,1689,0,0,0,1,0,3,1,7,1,Attchd,2,480,COD,Normal,127500
RL,Other,16492,NAmes,1Story,6,1966,2002,Gd,TA,No,ALQ,247,Rec,713,557,1517,1888,0,0,0,2,1,2,1,6,1,Attchd,2,578,WD,Normal,190000
RL,65,11214,Other,2Story,7,1998,1999,Gd,Gd,No,Unf,0,Unf,0,930,930,956,930,0,0,2,1,4,1,10,1,Attchd,2,431,WD,Normal,199900
RM,Other,8600,Other,Other,6,1937,1950,TA,TA,No,Unf,0,Unf,0,780,780,780,596,0,0,2,0,3,1,7,1,Detchd,1,198,WD,Normal,119500
RM,Other,6000,OldTown,Other,Other,1948,2002,TA,TA,No,ALQ,331,Unf,0,318,649,679,504,0,0,1,1,2,1,6,0,Detchd,1,308,WD,Normal,120000
RM,70,5684,OldTown,1Story,6,1930,2005,TA,TA,No,Unf,0,Unf,0,813,813,813,0,0,0,1,0,2,1,5,0,Detchd,1,270,WD,Normal,110000
RL,Other,70761,Other,1Story,7,1975,1975,TA,Gd,Gd,ALQ,655,Unf,0,878,1533,1533,0,1,0,2,0,2,1,5,2,Attchd,2,576,WD,Normal,280000
RL,Other,9303,Other,2Story,6,1996,1997,Gd,Ex,No,ALQ,742,Unf,0,130,872,888,868,1,0,2,1,3,1,7,0,Attchd,2,422,WD,Normal,204000
FV,Other,9000,Other,2Story,Other,2008,2008,Gd,Gd,No,Unf,0,Unf,0,768,768,786,804,0,0,2,1,3,1,6,0,Attchd,2,676,WD,Normal,210000
RL,Other,9297,Other,1Story,5,1976,1976,TA,TA,No,ALQ,1606,Unf,0,122,1728,1728,0,2,0,2,0,4,2,8,0,Detchd,2,560,WD,Family,188000
RL,80,9600,Other,1Story,7,1973,1973,TA,TA,No,ALQ,916,Unf,0,326,1242,1242,0,0,0,1,1,3,1,6,1,Attchd,2,528,WD,Normal,175500
RM,Other,4571,OldTown,2Story,5,1916,1950,TA,TA,No,Unf,0,Unf,0,624,624,624,720,0,0,1,0,4,1,7,0,Detchd,3,513,COD,Abnorml,98000
RL,80,53227,Other,1Story,Other,1954,1994,TA,Gd,Gd,BLQ,1116,Unf,0,248,1364,1663,0,1,0,1,0,2,1,6,2,Attchd,2,529,WD,Normal,256000
RM,60,5100,OldTown,2Story,Other,1925,1996,TA,TA,No,Unf,0,Unf,0,588,588,833,833,0,0,1,0,3,1,7,1,Detchd,1,228,WD,Normal,161000
RL,Other,7015,Other,Other,5,1950,1950,TA,TA,No,LwQ,185,Unf,0,524,709,979,224,1,0,1,0,3,1,5,1,Detchd,1,352,WD,Normal,110000
FV,Other,8004,Other,2Story,Other,2009,2009,Gd,Gd,No,GLQ,544,Unf,0,288,832,832,1103,1,0,2,1,3,1,8,0,BuiltIn,2,552,New,Partial,263435
RL,60,7200,Other,2Story,7,1936,2007,Gd,Gd,No,ALQ,350,BLQ,210,0,560,575,560,1,0,1,0,3,1,6,0,Detchd,2,576,WD,Normal,155000
RL,60,8281,Other,1Story,5,1965,1965,TA,TA,No,Rec,553,BLQ,311,0,864,864,0,0,0,1,0,3,1,5,1,Detchd,1,360,WD,Normal,62383
RL,Other,11988,Other,2Story,6,1934,1995,TA,TA,No,LwQ,326,Unf,0,389,715,849,811,0,0,1,1,3,1,6,1,Detchd,1,240,WD,Normal,188700
RL,60,8430,CollgCr,1Story,5,1978,1978,TA,Gd,No,Rec,616,Unf,0,424,1040,1040,0,0,0,2,0,3,1,5,0,None,0,0,WD,Normal,124000
RM,Other,3072,Other,1Story,7,2004,2004,Gd,Gd,No,Unf,0,Unf,0,1375,1375,1414,0,0,0,2,0,2,1,6,1,Attchd,2,398,WD,Normal,178740
RL,Other,10628,NAmes,1Story,7,1970,1970,TA,TA,Gd,GLQ,778,Unf,0,499,1277,1277,0,1,0,1,0,2,1,5,1,Attchd,2,526,WD,Normal,167000
RL,Other,9480,NAmes,2Story,5,1942,1995,TA,TA,No,LwQ,386,Unf,0,342,728,888,756,0,0,1,1,3,1,7,2,Attchd,1,312,WD,Normal,146500
RL,Other,11428,Other,1Story,Other,2006,2006,Gd,Gd,No,Unf,0,Unf,0,1626,1626,1634,0,0,0,2,0,3,1,7,1,Attchd,3,866,WD,Normal,250000
RL,Other,9291,Other,2Story,6,1993,1993,Gd,Gd,No,GLQ,426,Unf,0,406,832,832,878,0,0,2,1,3,1,7,0,Attchd,2,506,WD,Normal,187000
RL,Other,6820,Other,1Story,Other,1985,1985,Gd,Gd,Av,GLQ,368,BLQ,1120,0,1488,1502,0,1,0,1,1,1,1,4,0,Attchd,2,528,WD,Normal,212000
RL,Other,11952,Other,2Story,7,1977,1977,TA,Gd,No,Unf,0,Unf,0,808,808,1161,808,0,0,2,1,3,1,8,1,Attchd,2,534,WD,Normal,190000
RM,Other,3675,Edwards,Other,6,2005,2005,TA,Gd,Gd,GLQ,459,Unf,0,88,547,1072,0,1,0,1,0,2,1,5,0,Basment,2,525,WD,Normal,148000
RL,Other,14977,Other,1Story,Other,2006,2007,Gd,Ex,Gd,GLQ,1350,Unf,0,626,1976,1976,0,1,0,2,0,2,1,7,1,Attchd,3,908,New,Partial,440000
RL,Other,5330,Other,1Story,Other,2000,2000,Gd,Gd,Av,GLQ,1196,Unf,0,298,1494,1652,0,1,0,2,0,2,1,6,0,Attchd,2,499,WD,Normal,251000
RL,80,8480,Other,1Story,5,1963,1963,TA,TA,No,GLQ,630,Unf,0,340,970,970,0,1,0,1,0,2,1,5,0,Detchd,2,624,WD,Normal,132500
RL,Other,13125,CollgCr,1Story,6,1997,1998,TA,Gd,Gd,GLQ,994,Unf,0,484,1478,1493,0,1,0,2,0,3,1,7,1,Attchd,2,508,WD,Normal,208900
RL,Other,13693,Other,2Story,Other,2006,2006,Ex,Gd,Av,Unf,0,Unf,0,2153,2153,2069,574,0,0,2,1,3,1,9,1,BuiltIn,3,694,WD,Normal,380000
RL,Other,10637,CollgCr,1Story,Other,2007,2008,Gd,Ex,Gd,GLQ,1288,Unf,0,417,1705,1718,0,1,0,2,0,3,1,7,1,Attchd,3,826,WD,Normal,297000
RM,Other,5925,OldTown,1Story,Other,1937,2000,TA,Fa,No,Rec,168,Unf,0,739,907,1131,0,0,0,1,0,2,1,7,0,Detchd,2,672,WD,Alloca,89471
RL,Other,16033,Other,1Story,Other,2004,2005,Gd,Ex,Gd,GLQ,1261,Unf,0,572,1833,1850,0,1,0,2,0,3,1,8,1,Attchd,3,772,WD,Normal,326000
RL,Other,11846,Other,1Story,Other,2003,2004,Gd,Ex,Gd,GLQ,1567,Unf,0,225,1792,1792,0,1,0,2,0,2,1,6,1,Attchd,3,874,WD,Normal,374000
RM,Other,2500,OldTown,2Story,7,1915,2005,Gd,TA,No,ALQ,299,Unf,0,611,910,916,910,1,0,1,1,4,1,7,1,Attchd,1,164,WD,Normal,155000
RM,Other,4500,Other,1Story,6,1998,1998,TA,Ex,No,GLQ,897,Unf,0,319,1216,1216,0,1,0,2,0,2,1,5,0,Attchd,2,402,WD,Normal,164000
RL,Other,7758,Other,1Story,5,1962,2001,TA,TA,No,ALQ,588,Unf,0,411,999,999,0,1,0,1,0,3,1,6,0,Detchd,1,264,WD,Normal,132500
RL,80,9600,NAmes,1Story,5,1950,2007,Gd,TA,No,ALQ,607,Unf,0,506,1113,1113,0,0,0,1,0,3,1,5,1,Attchd,1,264,WD,Normal,147000
RL,Other,10289,NAmes,1Story,5,1965,1965,TA,TA,No,ALQ,836,Unf,0,237,1073,1073,0,1,0,1,1,3,1,6,0,Attchd,2,515,WD,Normal,156000
RL,70,12243,Other,1Story,5,1971,1971,TA,Gd,Av,ALQ,998,Unf,0,486,1484,1484,0,0,0,2,0,3,1,7,1,Attchd,2,487,WD,Normal,175000
RL,60,10800,OldTown,Other,5,1900,1970,TA,TA,No,BLQ,664,Unf,0,290,954,1766,648,0,0,2,0,3,2,10,1,Attchd,2,520,ConLD,Normal,160000
RM,Other,1526,Other,Other,Other,1970,2002,TA,Gd,Av,GLQ,515,Unf,0,115,630,630,0,1,0,1,0,1,1,3,0,Attchd,1,286,WD,Normal,86000
RM,Other,2665,Other,2Story,5,1976,1976,TA,Gd,Mn,Unf,0,Unf,0,264,264,616,688,0,0,1,1,3,1,4,1,BuiltIn,1,336,WD,Normal,115000
RL,Other,9490,NAmes,Other,6,1941,1950,TA,TA,No,BLQ,403,Rec,165,238,806,958,620,1,0,1,0,3,1,5,2,Attchd,1,240,WD,Normal,133000
RL,Other,15578,Other,2Story,6,2006,2006,Gd,Gd,No,Unf,0,Unf,0,728,728,728,728,0,0,2,1,3,1,8,0,Attchd,2,429,New,Partial,172785
RL,70,7931,NAmes,1Story,5,1960,1960,TA,TA,No,BLQ,374,LwQ,532,363,1269,1269,0,0,0,1,1,3,1,6,1,Detchd,1,308,WD,Normal,155000
RM,Other,5784,OldTown,1Story,5,1938,1996,TA,Fa,No,Unf,0,Unf,0,190,190,886,0,0,0,1,0,2,1,4,0,Attchd,1,273,WD,Normal,91300
C (all),60,7879,Other,1Story,Other,1920,1950,TA,TA,No,Rec,495,Unf,0,225,720,720,0,0,0,1,0,2,1,4,0,None,0,0,WD,Abnorml,34900
RL,Other,12692,Other,1Story,Other,1992,1993,Gd,Gd,No,GLQ,1231,Unf,0,1969,3200,3228,0,1,0,3,0,4,1,10,1,Attchd,2,546,WD,Normal,430000
RL,60,9120,Other,Other,7,1925,1950,TA,TA,No,Rec,329,Unf,0,697,1026,1133,687,1,0,2,0,4,1,8,0,Detchd,1,240,WD,Normal,184000
RL,65,7800,Other,1Story,5,1967,2004,TA,TA,No,ALQ,450,Unf,0,414,864,899,0,0,0,1,0,3,1,5,0,Attchd,1,288,WD,Normal,130000
RL,70,7535,NAmes,1Story,5,1958,1985,TA,TA,No,BLQ,111,LwQ,279,522,912,912,0,0,1,1,0,2,1,5,0,Attchd,1,297,WD,Normal,120000
RM,Other,1890,Other,2Story,6,1973,1973,TA,TA,No,BLQ,356,Unf,0,316,672,672,546,0,0,1,1,3,1,7,0,Detchd,1,264,WD,Normal,113000
FV,Other,9803,Other,2Story,7,2005,2005,Gd,Gd,No,GLQ,400,Unf,0,466,866,866,902,0,0,2,1,3,1,7,0,Attchd,2,603,WD,Normal,226700
RL,70,9170,Edwards,1Story,5,1965,1965,TA,TA,No,ALQ,698,GLQ,96,420,1214,1214,0,1,0,1,0,2,1,6,0,Detchd,2,461,WD,Normal,140000
RL,Other,15602,Other,1Story,7,1959,1997,TA,TA,No,ALQ,1247,Unf,0,254,1501,1801,0,1,0,2,0,1,1,6,2,Attchd,2,484,WD,Normal,289000
RL,Other,2308,Other,2Story,6,1974,1974,TA,TA,No,ALQ,257,Rec,495,103,855,855,467,0,1,2,1,3,1,6,1,Attchd,2,440,WD,Normal,147000
RM,60,7596,OldTown,2Story,5,1952,1952,TA,TA,No,Unf,0,Unf,0,960,960,960,1000,0,0,2,0,4,2,10,0,Detchd,2,400,COD,Normal,124500
RL,80,9554,Other,2Story,Other,1993,1994,Gd,Gd,No,GLQ,380,Unf,0,397,777,1065,846,0,0,2,1,3,1,8,1,Attchd,2,471,WD,Normal,215000
FV,Other,7862,Other,1Story,6,2009,2009,Gd,Gd,No,GLQ,27,Unf,0,1191,1218,1218,0,0,0,2,0,2,1,4,0,Attchd,2,676,New,Partial,208300
RM,60,9600,OldTown,2Story,7,1928,2005,TA,TA,No,Rec,141,Unf,0,548,689,689,689,0,0,2,0,3,1,7,1,Detchd,2,360,WD,Normal,161000
RL,80,9600,NAmes,1Story,5,1959,1959,TA,TA,No,ALQ,991,Unf,0,50,1041,1041,0,1,0,1,0,3,1,6,0,Attchd,1,270,WD,Normal,124500
RL,Other,14559,NAmes,1Story,5,1951,2000,Gd,TA,No,BLQ,650,Rec,180,178,1008,1363,0,1,0,1,0,2,1,6,2,CarPort,1,288,WD,Normal,164900
RL,Other,6792,Other,1Story,7,2005,2006,Gd,Gd,No,Unf,0,Unf,0,1368,1368,1368,0,0,0,2,0,2,1,6,1,Attchd,2,474,New,Partial,202665
RL,70,9100,NAmes,1Story,5,1958,1958,TA,TA,No,BLQ,521,LwQ,174,169,864,864,0,1,0,1,0,3,1,5,0,Detchd,2,624,WD,Normal,129900
